Date,Capital
2019-05-13,201618.5934
2019-05-14,202098.4934
2019-05-15,203491.2154
2019-05-16,202340.8868
2019-05-17,201200.4235
2019-05-20,203155.5204
2019-05-21,204053.3554
2019-05-22,201125.0776
2019-05-23,201582.808
2019-05-24,199275.9947
2019-05-28,196892.0123
2019-05-29,197521.7527
2019-05-30,193636.5762
2019-05-31,192809.5793
2019-06-03,198796.0656
2019-06-04,201029.3033
2019-06-05,203120.3434
2019-06-06,204774.0368
2019-06-07,205535.5957
2019-06-10,205601.9969
2019-06-11,205868.0479
2019-06-12,207078.2979
2019-06-13,207072.5555
2019-06-14,207896.7192
2019-06-17,209124.8352
2019-06-18,211124.0149
2019-06-19,213371.6873
2019-06-20,213256.587
2019-06-21,213202.4764
2019-06-24,211614.5565
2019-06-25,212993.5619
2019-06-26,213606.6513
2019-06-27,213239.2841
2019-06-28,214793.3683
2019-07-01,216103.6175
2019-07-02,217290.6583
2019-07-03,217550.8621
2019-07-05,215766.9159
2019-07-08,216242.4833
2019-07-09,216712.6368
2019-07-10,218739.291
2019-07-11,217958.0125
2019-07-12,218987.2368
2019-07-15,219550.4247
2019-07-16,218048.3392
2019-07-17,218421.3251
2019-07-18,218177.1723
2019-07-19,218400.6937
2019-07-22,220800.0536
2019-07-23,220035.3493
2019-07-24,219186.0068
2019-07-25,220376.6807
2019-07-26,221438.8752
2019-07-29,221644.7792
2019-07-30,218525.9999
2019-07-31,217456.7696
2019-08-01,214776.535
2019-08-02,206855.4194
2019-08-05,209811.9758
2019-08-06,209114.1391
2019-08-07,212190.5198
2019-08-08,213249.1922
2019-08-09,210229.3689
2019-08-12,214082.0241
2019-08-13,208540.2971
2019-08-14,207274.7924
2019-08-15,211736.6369
2019-08-16,213434.0608
2019-08-19,211517.1685
2019-08-20,212725.883
2019-08-21,212551.5843
2019-08-22,207115.3937
2019-08-23,209682.296
2019-08-26,208662.2295
2019-08-27,210235.803
2019-08-28,212900.7571
2019-08-29,213140.4142
2019-08-30,212256.9367
2019-09-03,214524.7987
2019-09-04,216419.6556
2019-09-05,216700.2273
2019-09-06,217749.5443
2019-09-09,215260.9713
2019-09-10,215734.7892
2019-09-11,217279.8968
2019-09-12,217747.1051
2019-09-13,216495.9036
2019-09-16,217703.4398
2019-09-17,217672.9807
2019-09-18,217340.0664
2019-09-19,215005.5936
2019-09-20,215726.9303
2019-09-23,214110.1912
2019-09-24,215644.3515
2019-09-25,214506.6369
2019-09-26,213201.9576
2019-09-27,214072.7305
2019-09-30,210855.37
2019-10-01,206682.6571
2019-10-02,208994.8034
2019-10-03,212402.4496
2019-10-04,211821.8322
2019-10-07,209141.8046
2019-10-08,210961.0103
2019-10-09,211920.6645
2019-10-10,213124.4882
2019-10-11,212423.5089
2019-10-14,214527.8195
2019-10-15,214648.5749
2019-10-16,213761.6371
2019-10-17,212331.2785
2019-10-18,213599.9594
2019-10-21,214971.6048
2019-10-22,215480.4287
2019-10-23,215265.0083
2019-10-24,216751.1922
2019-10-25,216408.929
2019-10-28,216177.5339
2019-10-29,217802.0848
2019-10-30,216344.889
2019-10-31,220470.1855
2019-11-01,218296.656
2019-11-04,217331.1954
2019-11-05,218332.9018
2019-11-06,220314.7845
2019-11-07,221243.7399
2019-11-08,221245.6925
2019-11-11,222014.2534
2019-11-12,222957.6638
2019-11-13,223328.6159
2019-11-14,223661.3667
2019-11-15,224734.5321
2019-11-18,224507.7481
2019-11-19,224158.4414
2019-11-20,223588.6493
2019-11-21,224863.9942
2019-11-22,225856.4199
2019-11-25,227234.6914
2019-11-26,227701.1505
2019-11-27,227786.1887
2019-11-29,224377.7455
2019-12-02,222189.4099
2019-12-03,224118.0308
2019-12-04,224035.0973
2019-12-05,226985.2269
2019-12-06,226359.3676
2019-12-09,226085.7447
2019-12-10,226540.9227
2019-12-11,229181.6007
2019-12-12,229530.0438
2019-12-13,230296.7191
2019-12-16,231061.2161
2019-12-17,230576.1144
2019-12-18,232046.8406
2019-12-19,233526.6437
2019-12-20,235188.6681
2019-12-23,235628.7102
2019-12-24,235831.403
2019-12-26,236171.0755
2019-12-27,234934.5553
2019-12-30,235810.9359
2019-12-31,239558.92
2020-01-02,237643.1615
2020-01-03,238239.7891
2020-01-06,237316.3167
2020-01-07,237938.1796
2020-01-08,238757.8094
2020-01-09,238153.3148
2020-01-10,239159.0779
2020-01-13,240044.4481
2020-01-14,240141.8853
2020-01-15,242252.0399
2020-01-16,242954.6322
2020-01-17,241859.1168
2020-01-21,240709.3329
2020-01-22,241244.0245
